Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
80594,3 BHK Ready to Occupy Flat for sale in My Home Bhooja Hitech City,"This magnificent 3 BHK Flat is available for sale in Hitech City, Hyderabad. This flat is situated within the renown township of My Home Bhooja. This is one of the best properties available for resale. This ready to move flat in Hitech City comes at an affordable price of INR 6.30 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities. hitech city circle are some of the key nearby landmarks.",6.30 Cr ,24277.0,hyderabad,,Ready to Move,12 out of 35,Resale,Furnished,West,"Garden/Park, Pool, Main Road",,4,2,2 Covered,Freehold,2595 sqft,,
172303,1 BHK Ready to Occupy Flat for sale in Janki Sahaniwas Jaitala,"This attractive 1 BHK apartment can be found for sale in Jaitala, Nagpur. It is housed in the well-planned Janki Sahaniwas township in an advantageous location. This apartment is a property of choice for resale. You can buy this ready to move flat in Jaitala at a reasonable price of INR 25 Lac. It is unfurnished to accommodate your needs. you will find all daily household needs, schools, and petrol pumps nearby. are some of the key nearby landmarks.",25 Lac ,3597.0,nagpur,,Ready to Move,1 out of 5,Resale,Unfurnished,North,Garden/Park,Janki Sahaniwas,1,1,,Freehold,695 sqft,,
98738,4 BHK Ready to Occupy Flat for sale hawda Kolkata,"4 BHK, Multistorey Apartment is available for Sale in , Kolkata for 51.0 Lac(s)",51 Lac ,3835.0,kolkata,,Ready to Move,3 out of 6,Resale,Furnished,,,,2,,,,1330 sqft,,
28999,"2 BHK Ready to Occupy Flat for sale A Narayanapura, Mahadevapura","This gorgeous 2 BHK Flat is available for sale in A Narayanapura, Bangalore. This flat for resale is a choice property. This ready to move flat located in A Narayanapura is available for purchase at a fair price of INR 65 Lac. The flat is available in semi-furnished condition.",65 Lac ,4062.0,bangalore,1050 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,East,,,2,2,,,,,
76594,3 BHK Ready to Occupy Flat for sale in Puppalguda Puppalguda,"This attractive 3 BHK apartment can be found for sale in Puppalaguda, Hyderabad. Situated in the excellent Puppalguda township. The flat enjoys a prime location. This flat for resale has a desirable location. This ready to move flat in Puppalaguda comes at an affordable price of INR 6 Lac. This flat is an ideal choice because it is an furnished apartment with all basic amenities.",Call for Price,,hyderabad,1175 sqft,Ready to Move,3 out of 5,Resale,Furnished,South,,,3,3,,Freehold,,,
94263,3 BHK Ready to Occupy Flat for sale in Elita Garden Vista Action Area III,"3BHK with 1956 sqft flat available for sale in a most renowned complex Alaktika in New Town AA3, which is well connected from all basic necessity, this flat is located in north east corner, with a covered register car parking space. All modern amenities like Intercom facility, security personnel, maintenance staff, park, water storage, club house, community center, fitness centre. Area is quite calm ideal for leaving with family.",1.21 Cr ,6189.0,kolkata,1450 sqft,Ready to Move,18 out of 28,Resale,Furnished,North - East,Garden/Park,Elita Garden Vista,3,2,1 Covered,Freehold,,,
145624,3 BHK Ready to Occupy Flat for sale in Nyati Ethos NIBM Road,"Discover this immaculate 3 BHK flat for sale at the pristine NIBM Road in Pune. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Nyati Ethos. This flat for resale is the perfect property for you! This ready to move flat in NIBM Road can be availed at a reasonable price of INR 1.25 Cr. The apartment is unfurnished.",1.25 Cr ,7857.0,pune,1224 sqft,Ready to Move,3 out of 12,Resale,Unfurnished,,,Nyati Ethos,3,2,,,,,
64862,3 BHK Ready to Occupy Flat for sale in Ireo Victory Valley Sector 67,"This attractive 3 BHK apartment can be found for sale in Sector 67, Gurgaon. It is based at Ireo Victory Valley complex, that occupies a prominent place in the locality. This is a desirable apartment for resale. The ready to move flat in Sector 67 is all ready for sale at a low-priced budget of INR 2.35 Cr. You will find it semi-furnished. water sportsrainwater harvesting, children play area, community hall are some of the well-known landmarks in this locality.",2.35 Cr ,9631.0,gurgaon,,Ready to Move,15 out of 51,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Ireo Victory Valley,4,3,2 Covered,Freehold,2440 sqft,,
120867,2 BHK Ready to Occupy Flat for sale in Aadarsh Apartment Dwarka Sector 3,"Dwarka Sector 3, New Delhi has an appealing 2 BHK flat for sale with various amenities. Ideally situated in the Aadarsh Apartment township it enjoys a prime location. This flat for resale has a desirable location. This ready to move flat in Dwarka Sector 3 can be taken at a very economical pricing of INR 75 Lac. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level. The prime landmarks near this property are orp dwarka sec 5..",75 Lac ,7895.0,new-delhi,850 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,Main Road,Aadarsh Apartment,2,2,2 Open,Freehold,,,
149831,1 BHK Ready to Occupy Flat for sale in Terra City 1 Alwar Bypass Road,"Alwar Bypass Road, Bhiwadi has an appealing 1 BHK flat for sale with various amenities. It is housed in the well-planned Terra City 1 township in an advantageous location. This flat for resale is a choice property. The ready to move flat in Alwar Bypass Road is all ready for sale at a low-priced budget of INR 13.5 Lac. The spacious apartment is semi-furnished.",13.5 Lac ,2348.0,bhiwadi,,Ready to Move,1 out of 4,Resale,Semi-Furnished,,,Terra City 1,1,,,,575 sqft,,
118277,2 BHK Ready to Occupy Flat for sale Dwarka Mor,"Carefully laid out in the prime location of Dwarka Mor in New Delhi, this spacious 2 BHK flat on sale is a meticulously planned project. This flat all equipped with required facilities, is up for sale. Available at a reasonable selling price of INR 34.5 Lac, this ready to move apartment in Dwarka Mor is a great buy. This contemporary apartment is semi-furnished. This 2 BHK flat boasts of being in close proximity to significant landmarks like dwarka mor metro station that enhance the overall living experience.",34.5 Lac ,5721.0,new-delhi,540 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Main Road,,2,1,,Freehold,,,
87467,4 BHK Ready to Occupy Flat for sale Raja Park,This ready to move-in 4 BHK flat is available for sale at the premium Raja Park in Jaipur. This flat is available as a resale property. This apartment ready to move in the Raja Park is available for an attractive price of INR 1.95 Cr. The flat is sold in semi-furnished condition. Some neighbouring landmarks are adarsh nagar.,1.95 Cr ,7222.0,jaipur,,Ready to Move,3 out of 11,Resale,Semi-Furnished,West,"Pool, Main Road",,4,3,1 Covered,Freehold,2700 sqft,,
182235,2 BHK Ready to Occupy Flat for sale Moti Nagar,"Discover this immaculate 2 BHK flat for sale at the pristine Moti Nagar in Vadodara. This flat for resale is a choice property. This apartment in one of the significant areas of Moti Nagar is ready to move, and can be purchased at the best price of INR 45 Lac. Available in semi-furnished state, this flat is a great buy.",45 Lac ,5000.0,vadodara,,Ready to Move,4 out of 5,Resale,Semi-Furnished,,,,2,,,,900 sqft,,
171062,3 BHK Ready to Occupy Flat for sale Kharar,"Kharar, Mohali has an attractive 3 BHK Flat for sale. This flat for sale has a desirable location. This ready to move flat is offered at an economical price of INR 65.9 Lac. The flat is unfurnished and is suitable for any family size. The property is strategically placed near prominent places as sbp city of dream which make for the smooth living of residents.",65.9 Lac ,4252.0,mohali,1000 sqft,Ready to Move,6 out of 15,New Property,Unfurnished,North - East,Garden/Park,,3,2,"1 Covered,",Freehold,,,
113581,3 BHK Ready to Occupy Flat for sale Vrindavan Yojana,"This beautiful 3 BHK Flat is available for sale in Vrindavan Yojana, Lucknow. This flat for sale has a desirable location. In Vrindavan Yojana, this ready to move flat is available at an attractive price of INR 80 Lac. This leading project is ready for possession as of Jul '23. The flat is sold in semi-furnished condition. in vrindavan yozna connected to airport and all through saheed path are some of the key nearby landmarks.",80 Lac ,5161.0,lucknow,,Ready to Move,2 out of 11,New Property,Semi-Furnished,East,Garden/Park,,2,3,2 Covered,Freehold,1550 sqft,,
92791,"2 BHK Ready to Occupy Flat for sale in Gobindo Tower Bangur Avenue, Lake Town","Near Lake Town Bus stop, Posh area, beautiful locality",Call for Price,,kolkata,668 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,North,Main Road,Gobindo Tower,2,2,,Freehold,,,
42177,3 BHK Ready to Occupy Flat for sale Oragadam,"Creatively planned and constructed is a 3 BHK flat for sale in Oragadam, Chennai. This apartment is a property of choice for resale. This ready to move flat in Oragadam comes at an affordable price of INR 1.25 Cr. The flat is semi-furnished and makes for an ideal choice for any family.",1.25 Cr ,5541.0,chennai,,Ready to Move,8 out of 27,Resale,Semi-Furnished,,,,3,,,Freehold,2256 sqft,,
50028,3 BHK Ready to Occupy Flat for sale in Pioneer Park Sector 61,"Carefully laid out in the prime location of Sector 61 in Gurgaon, this spacious 3 BHK flat on sale is a meticulously planned project. This flat is placed in a marvellous location within the Pioneer Park complex. This flat is available as a resale property. This ready to move flat is offered at an economical price of INR 2.3 Lac. This contemporary apartment is semi-furnished.",Call for Price,,gurgaon,,Ready to Move,3 out of 24,Resale,Semi-Furnished,,,Pioneer Park,3,,,,1795 sqft,,
166120,2 BHK Ready to Occupy Flat for sale New Saket Nagar,"This gorgeous 2 BHK Flat is available for sale in New Saket Nagar, Gwalior. This is one of the best properties available for resale. Available at a reasonable selling price of INR 28 Lac, this ready to move apartment in New Saket Nagar is a great buy. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities.",28 Lac ,2545.0,gwalior,,Ready to Move,2 out of 3,Resale,Semi-Furnished,,,,2,,,,1100 sqft,,
105648,4 BHK Ready to Occupy Flat for sale in Kshitij Dum Dum,"At Kshitij, you can compete on the court, relax with your friends and family in the community areas or read your favourite book under the gentle shade of a tree. It is all about creating a property that is geographically centered around your life and your dayto day needs. You will be spoilt for choice after all, you deserve to be at the very centre of attention. Co Promoted",1.36 Cr ,6904.0,kolkata,1349 sqft,Ready to Move,,Resale,Unfurnished,South,"Garden/Park, Main Road",Kshitij,3,1,1 Covered,Freehold,,,
41268,2 BHK Ready to Occupy Flat for sale Sembakkam,"Have a look at this immaculate 2 BHK flat for sale in Sembakkam, Chennai. This flat for sale has a desirable location. In Sembakkam, this ready to move flat is available at an attractive price of INR 50.1 Lac. It is unfurnished to accommodate your needs. Some neighbouring landmarks are tambaram sembakkam selaiyur medavakkam.",50.1 Lac ,5899.0,chennai,1300 sqft,Ready to Move,1 out of 2,New Property,Unfurnished,North - East,"Garden/Park, Pool, Main Road",,2,1,1 Covered,Freehold,,,
81631,4 BHK Ready to Occupy Flat for sale Kakatiya Hills Vasanth Nagar Colony,"This attractive 4 BHK apartment can be found for sale in Kakatiya Hills, Hyderabad. This is a desirable apartment for sale. Located in Kakatiya Hills, this ready to move apartment is sold at a fair selling price of INR 3.98 Cr. Its date of possession is Jun '23. This semi-furnished flat is strategically designed with all the amenities to enhance the living experience. The property is constructed with proximity to major landmarks like oakridge school, yashoda hospitals, durgam cheruvu recreation park.",3.98 Cr ,11056.0,hyderabad,3600 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,North,Garden/Park,,4,1,2 Covered,Freehold,,,
119178,3 BHK Ready to Occupy Flat for sale in Madhur Jeevan Apartment Dwarka Sector 10,"Have a look at this immaculate 3 BHK flat for sale in Dwarka Sector 10, New Delhi. Well-tucked in the Madhur Jeevan Apartment township, the property is easily accessible. This flat is available as a resale property. You can buy this ready to move flat in Dwarka Sector 10 at a reasonable price of INR 2.10 Cr. This contemporary apartment is semi-furnished. The property is constructed with proximity to major landmarks like near by market and metro station.",2.10 Cr ,11667.0,new-delhi,1400 sqft,Ready to Move,4 out of 8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Madhur Jeevan Apartment,2,4,"1 Covered,",Freehold,,,
17378,2 BHK Ready to Occupy Flat for sale in Pyramid Bilberry Thanisandra Main Road,"Carefully laid out in the prime location of Thanisandra Main Road in Bangalore, this spacious 2 BHK flat on sale is a meticulously planned project. Located in the Pyramid Bilberry township, the flat enjoys access to the prime spots in the city. This flat for sale is a choice property. This apartment in one of the significant areas of Thanisandra Main Road is ready to move, and can be purchased at the best price of INR 39.2 Lac. It is unfurnished to accommodate your needs.",39.2 Lac ,4500.0,bangalore,,Ready to Move,,New Property,Unfurnished,,,,2,,,,872 sqft,,
100044,1 BHK Ready to Occupy Flat for sale Central road jadavpur Kolkata,"Builder floor apartment is available for sale. It has covered area of 500 sq-ft, it is a good location property. Please contact for more details.",70 Lac ,14000.0,kolkata,,Ready to Move,1 out of 1,Resale,Unfurnished,,,,1,,,,500 sqft,,
157109,3 BHK Ready to Occupy Flat for sale in Bptp District 5 Sector 84,"This magnificent 3 BHK Flat is available for sale in Sector 84, Faridabad. This flat is placed in a marvellous location within the Bptp District 5 complex. This apartment for resale is a great choice. Located in Sector 84, this ready to move apartment is sold at a fair selling price of INR 89 Lac. The flat is available in semi-furnished condition. The prime landmarks near this property are owning an own home is most probably every living persons dream..",89 Lac ,3956.0,faridabad,2000 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,Garden/Park,Bptp District 5,3,2,"1 Covered,",Freehold,,,
27690,3 BHK Ready to Occupy Flat for sale in Sriven Rag Metropole J P Nagar,"JP Nagar, Bangalore has an attractive 3 BHK Flat for sale. Strategically situated in the Sriven Rag Metropole site, it is placed at a prime location. This apartment is a property of choice for resale. This ready to move flat is offered at an economical price of INR 63 Lac. You will find it semi-furnished. Landmarks near the apartment include national public school.",63 Lac ,3877.0,bangalore,1435 sqft,Ready to Move,3 out of 6,Resale,Semi-Furnished,East,,,3,3,"1 Covered,",Freehold,,,
58899,4 BHK Ready to Occupy Flat for sale in La Lagune Gurgaon Golf Course Road,"Carefully laid out in the prime location of Golf Course Road in Gurgaon, this spacious 4 BHK flat on sale is a meticulously planned project. It is based at La Lagune Gurgaon complex, that occupies a prominent place in the locality. This flat for resale is the perfect property for you! Located in Golf Course Road, this ready to move apartment is sold at a fair selling price of INR 7 Cr. The flat is unfurnished and makes for an ideal choice for any family. sec-54 chowk metro station are some major landmarks near the apartment.",7 Cr ,22152.0,gurgaon,2700 sqft,Ready to Move,15 out of 18,Resale,Unfurnished,East,"Garden/Park, Pool",La Lagune Gurgaon,5,2,2 Covered,Freehold,,,
75133,4 BHK Ready to Occupy Flat for sale Kakatiya Hills Vasanth Nagar Colony,"This gorgeous 4 BHK Flat is available for sale in Kakatiya Hills, Hyderabad. This flat for sale is a choice property. This ready to move flat in Kakatiya Hills comes at an affordable price of INR 3.98 Cr. This leading project is ready for possession as of Jun '23. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities. oakridge school, yashoda hospitals, durgam cheruvu recreation park are some major landmarks near the apartment.",3.98 Cr ,11056.0,hyderabad,3600 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,North,Garden/Park,,4,1,2 Covered,Freehold,,,
106093,1 BHK Ready to Occupy Flat for sale in Bengal Peerless Animikha Rajarhat,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.,23 Lac ,4792.0,kolkata,400 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,,,Bengal Peerless Animikha,1,1,,,,,
158440,2 BHK Ready to Occupy Flat for sale in Charms Castle Raj Nagar Extension,"This exquisite 2 BHK Flat is offered for sale in Raj Nagar Extension, Ghaziabad. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Charms Castle. This flat is available as a resale property. The ready to move flat in the prime area of Raj Nagar Extension is available at a reasonable price of INR 45 Lac. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. The flat is easily approachable because it is near to society is located at main road of ghazibad.",45 Lac ,4036.0,ghaziabad,800 sqft,Ready to Move,13 out of 22,Resale,Unfurnished,East,,Charms Castle,2,3,1 Covered,Freehold,,,
90463,2 BHK Ready to Occupy Flat for sale in AROHA Jagatpura,2 BHK flat available for sale in Jaipur in the prime location of Jagatpura. This flat is situated within the renown township of Aroha. Invest your valuable money in this flat that is for sale. The ready to move flat in the prime area of Jagatpura is available at a reasonable price of INR 32.5 Lac. The flat is sold in semi-furnished condition. near ghan vihar university jagatpura jaipur are some major landmarks near the apartment.,32.5 Lac ,3341.0,jaipur,732 sqft,Ready to Move,3 out of 6,New Property,Semi-Furnished,East,"Garden/Park, Main Road",AROHA,2,1,1 Covered,Freehold,,,
181920,3 BHK Ready to Occupy Flat for sale Sayajipura,"Creatively planned and constructed is a 3 BHK flat for sale in Sayajipura, Vadodara. This flat is an attractive property for resale. This apartment in one of the significant areas of Sayajipura is ready to move, and can be purchased at the best price of INR 35 Lac. The flat is semi-furnished and is suitable for any family size.",35 Lac ,2500.0,vadodara,,Ready to Move,1 out of 4,Resale,Semi-Furnished,,,,2,3,,,1400 sqft,,
88406,3 BHK Ready to Occupy Flat for sale in Mahima Elite Shyam Nagar,"Have a look at this immaculate 3 BHK flat for sale in Shyam Nagar, Jaipur. This flat is placed in a marvellous location within the Mahima Elite complex. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Shyam Nagar can be availed at a reasonable price of INR 1.70 Cr. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. vivek vihar metro station and big bazaar are some major landmarks near the apartment.",1.70 Cr ,7805.0,jaipur,1525 sqft,Ready to Move,6 out of 9,Resale,Unfurnished,West,"Pool, Main Road",Mahima Elite,4,2,,Leasehold,,,
134386,3 BHK Ready to Occupy Flat for sale Punjabi Bagh West,"This magnificent 3 BHK Flat is available for sale in Punjabi Bagh West, New Delhi. Invest your valuable money in this flat that is for resale. This apartment in one of the significant areas of Punjabi Bagh West is ready to move, and can be purchased at the best price of INR 2.50 Cr. It is unfurnished to accommodate your needs.",2.50 Cr ,13514.0,new-delhi,,Ready to Move,2 out of 3,Resale,Unfurnished,,Main Road,,3,1,1 Open,Freehold,1850 sqft,,
59202,3 BHK Ready to Occupy Flat for sale in Hightown Residences Sushant Lok 1 Block A,"Up for immediate sale is a 3 BHK apartment in Sushant Lok 1 Block A, Gurgaon. Don't miss this bargain flat for sale. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Hightown Residences. This flat all equipped with required facilities, is up for sale. This ready to move flat located in Sushant Lok 1 Block A is available for purchase at a fair price of INR 4.30 Cr. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level. Some neighbouring landmarks are sector 27 galleria market mg road and huda metro golf course road ggn.",4.30 Cr ,20000.0,gurgaon,1701 sqft,Ready to Move,17 out of 27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",Hightown Residences,4,3,"2 Covered,",Freehold,,,
54182,3 BHK Ready to Occupy Flat for sale in Ireo Victory Valley Sector 67,"This attractive 3 BHK apartment can be found for sale in Sector 67, Gurgaon. It is based at Ireo Victory Valley complex, that occupies a prominent place in the locality. This is a desirable apartment for resale. The ready to move flat in Sector 67 is all ready for sale at a low-priced budget of INR 2.35 Cr. You will find it semi-furnished. water sportsrainwater harvesting, children play area, community hall are some of the well-known landmarks in this locality.",2.35 Cr ,9631.0,gurgaon,,Ready to Move,15 out of 51,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Ireo Victory Valley,4,3,2 Covered,Freehold,2440 sqft,,
176560,3 BHK Ready to Occupy Flat for sale Jyoti Nagar,"Creatively planned and constructed is a 3 BHK flat for sale in Jyoti Nagar, Siliguri. This flat for resale is just the type of property you have been searching for! In Jyoti Nagar, this ready to move flat is available at an attractive price of INR 42 Lac. The spacious apartment is unfurnished.",42 Lac ,3652.0,siliguri,950 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,,,,2,1,,,,,
40700,2 BHK Ready to Occupy Flat for sale Kattupakkam,"Up for immediate sale is a 2 BHK apartment in Kattupakkam, Chennai. Don't miss this bargain flat for sale. This flat for resale has a desirable location. This apartment ready to move in the Kattupakkam is available for an attractive price of INR 40 Lac. It is a unfurnished apartment.",40 Lac ,5128.0,chennai,920 sqft,Ready to Move,2 out of 2,Resale,Unfurnished,North,,,2,1,,Freehold,,,
